ResponseId,ticket,Durationinseconds,Progress
R_t0qtB72vhy2Uh1f,1dfb354f461c8314_861b49d1857524a8_cc430c747a15dd31_1458bcbe04f78e8aaa91dd1fa1ad0299,3212,100
R_1ifcwItO7J0Qvlg,52d93b18cf8c034b_861b49d1857524a8_cc430c747a15dd31_c342b1c422e49dc2445d80c714a9560c,2855,100
R_1C1tlw1KoRuLOQA,a6d3d59f99ad501a_861b49d1857524a8_cc430c747a15dd31_851448caea97b151dbd9cbd7379426b8,3110,100
R_3FV5FCPDmTBFwTw,0cb059f8c8832614_861b49d1857524a8_cc430c747a15dd31_07bb291df27406e527df88544a8150c7,2438,100
R_3CNPqcTfYlkczmn,4d68a9d42daa6549_861b49d1857524a8_cc430c747a15dd31_6c9fc4674d50705cc178f2c791187e85,3210,100
R_1QF9mJEWTIcBfVf,9668a4990ff15cf9_861b49d1857524a8_cc430c747a15dd31_c27b7622bf26c59f032a49d781200e7f,3245,100
R_3hyzkjL6keWbJaM,86690950f52201ca_861b49d1857524a8_cc430c747a15dd31_298b1df20599198020e8bd371d02c820,2890,100
R_1K9cKZw3By0y9WU,6f5532d351557c74_861b49d1857524a8_cc430c747a15dd31_a69755184446130d61b4aa873c544a2e,3590,100
R_1LLPKXohm6wXJau,034b07aa6f5f2d64_861b49d1857524a8_cc430c747a15dd31_dea4db06f2cca34f1fbda48f8732df1d,3730,100
R_1hZ8nUXiNgZ6Pm1,690f2f40934d5fcf_861b49d1857524a8_cc430c747a15dd31_e80b4a3947fe363fb0023ffd7619269b,3439,100
R_3G7YXhjRjGwCaa0,3aba170af4d7b573_861b49d1857524a8_cc430c747a15dd31_50bf9179c7d84b796d36d0207306b51b,3338,100
R_1nZ6gnepME1LLxD,f7378f2dbad8852a_861b49d1857524a8_cc430c747a15dd31_579420a9f8e6464d22c7ae0a56a6fc98,3523,100
R_12F5aG3MOsnGhGD,cdf37d11df2089f9_861b49d1857524a8_cc430c747a15dd31_038aac92cf65f378d4f8aa10ebd4227d,3484,100
R_2EgG3iayRHKQayX,25bb30b7a6680175_861b49d1857524a8_cc430c747a15dd31_400b13523b4e7ae748fd43f156f1597c,3405,100
R_1Dwlx1LN79on3KY,61c47b4536072b7b_861b49d1857524a8_cc430c747a15dd31_28966acc18f7ebb320c013e512d71df3,3467,100
R_2s5XLMacWzX1bkB,f71267f13b413694_861b49d1857524a8_cc430c747a15dd31_9f20d23d6cef4af40f069b0ed708178c,3930,100
R_2TGlnaURtshfQNN,8692f7fca5255b66_861b49d1857524a8_cc430c747a15dd31_cc7b87641bc947ca608b9eccf4c419ea,3329,100
R_325zX4aVSKEKaEQ,c16807906793fcd5_861b49d1857524a8_cc430c747a15dd31_5ca7cded3d6f197a2d101bcf7dbb20c5,3055,100
R_benI80rZjKeDY5z,8b606875f91b5d22_861b49d1857524a8_cc430c747a15dd31_886bff0828eecafa200a7c3cf26ddc5c,3995,100
